,Unnamed: 0,global_id,Caption,NameOfStation,lat,long
366,366,1773937,metro,Серпуховская,55.726855,37.6248829
367,367,1773938,metro,Улица 1905 года,55.765717,37.560177
368,368,1773939,metro,Улица академика Янгеля,55.5942546,37.6011148
369,369,1773940,metro,Бульвар Рокоссовского,55.8149979,37.7321792
370,370,1773941,metro,Бульвар Рокоссовского,55.8154001,37.7329306
371,371,1773942,metro,Бульвар Рокоссовского,55.8132836,37.7351755
372,372,1773943,metro,Бульвар Рокоссовского,55.813449,37.7352186
373,373,1773944,metro,Серпуховская,55.726788,37.62576
374,374,1773945,metro,Славянский бульвар,55.728974,37.468856
375,375,1773946,metro,Славянский бульвар,55.729345,37.47293
376,376,1773947,metro,Славянский бульвар,55.730202,37.473107
377,377,1773948,metro,Славянский бульвар,55.730934,37.472431
378,378,1773949,metro,Смоленская,55.747952,37.583806
379,379,1773950,metro,Смоленская,55.749036,37.5822488
380,380,1773951,metro,Сокол,55.8045014,37.51424
381,381,1773952,metro,Сокол,55.8055344,37.5150184
382,382,1773953,metro,Сокол,55.80434,37.515679
383,383,1773954,metro,Сокол,55.8050244,37.5163929
384,384,1773955,metro,Сокол,55.804935,37.5167424
385,385,1773956,metro,Рижская,55.7926231,37.6359244
386,386,1773958,metro,Римская,55.746441,37.681359
387,387,1773959,metro,Рязанский проспект,55.7162448,37.7926457
388,388,1773961,metro,Савёловская,55.793958,37.590304
389,389,1773962,metro,Савёловская,55.7940558,37.5871596
390,390,1773963,metro,Свиблово,55.856086,37.653862
391,391,1773964,metro,Свиблово,55.8547925,37.6514186
392,392,1773965,metro,Сокол,55.804217,37.5162194
393,393,1773966,metro,Сокольники,55.789304,37.679849
394,394,1773967,metro,Сокольники,55.789257,37.679521
395,395,1773968,metro,Спортивная,55.7222857,37.5618704
396,396,1773969,metro,Спортивная,55.7238319,37.5656975
397,397,1773970,metro,Сретенский бульвар,55.766097,37.637075
398,398,1773972,metro,Строгино,55.803709,37.401437
399,399,1773973,metro,Строгино,55.804446,37.401883
400,400,1773974,metro,Сухаревская,55.772245,37.632071
401,401,1773975,metro,Сухаревская,55.772318,37.632951
402,402,1773976,metro,Сходненская,55.8514481,37.4386091
403,403,1773977,metro,Сходненская,55.8515991,37.4388612
404,404,1773978,metro,Сходненская,55.849603,37.439262
405,405,1773979,metro,Жулебино,55.6841436,37.8554017
406,406,1773980,metro,Строгино,55.803098,37.404255
407,407,1773981,metro,Строгино,55.803813,37.404768
408,408,1773982,metro,Студенческая,55.738902,37.548298
409,409,1773983,metro,Шоссе Энтузиастов,55.7576076,37.7518838
410,410,1773984,metro,Жулебино,55.68613,37.8565123
411,411,1773985,metro,Жулебино,55.686196,37.857681
412,412,1773986,metro,Жулебино,55.685816,37.857292
413,413,1773987,metro,Жулебино,55.6848651,37.8549507
414,414,1773988,metro,Жулебино,55.6848442,37.854404
415,415,1773989,metro,Жулебино,55.6846472,37.8541303
416,416,1773990,metro,Жулебино,55.684466,37.8557874
417,417,1773991,metro,Жулебино,55.6836776,37.8547418
418,418,1773992,metro,Улица 1905 года,55.763895,37.562145
419,419,1773993,metro,Улица академика Королёва,55.8218212,37.6265474
420,420,1773994,metro,Улица академика Янгеля,55.5958068,37.6001871
421,421,1773995,metro,Улица академика Янгеля,55.5944718,37.6004819
422,422,1773996,metro,Улица академика Янгеля,55.5961437,37.6012648
423,423,1773997,metro,Улица академика Янгеля,55.5941275,37.6018926
424,424,1773998,metro,Улица академика Янгеля,55.595992,37.6027031
425,425,1773999,metro,Улица Милашенкова,55.821901,37.591282
426,426,1774001,metro,Чкаловская,55.756228,37.660159
427,427,1774002,metro,Деловой центр,55.749036,37.537593
428,428,1774003,metro,Лесопарковая,55.5816216,37.5778946
429,429,1774004,metro,Улица Скобелевская,55.5477054,37.5533041
430,430,1774006,metro,Университет,55.6916707,37.534935
431,431,1774007,metro,Университет,55.6933978,37.5346985
432,432,1774008,metro,Филёвский парк,55.7396228,37.4836294
433,433,1774009,metro,Битцевский парк,55.6004415,37.556297
434,434,1774010,metro,Пятницкое шоссе,55.857343,37.355271
435,435,1774011,metro,Пятницкое шоссе,55.854904,37.352861
436,436,1774012,metro,Митино,55.845982,37.360024
437,437,1774013,metro,Митино,55.846461,37.359332
438,438,1774014,metro,Митино,55.84469,37.363736
439,439,1774017,metro,Мякинино,55.826292,37.385342
440,440,1774018,metro,Бульвар Рокоссовского,55.8141349,37.7356549
441,441,1774019,metro,Улица Сергея Эйзенштейна,55.8294285,37.6449918
442,442,1774020,metro,Строгино,55.803867,37.400553
443,443,1774021,metro,Строгино,55.804598,37.401208
444,444,1774022,metro,Строгино,55.802894,37.405145
445,445,1774023,metro,Строгино,55.803625,37.405607
446,446,1774026,metro,Киевская,55.743095,37.564813
447,447,1774027,metro,Царицыно,55.6197162,37.6706788
448,448,1774028,metro,Черкизовская,55.805133,37.7445447
449,449,1774029,metro,Черкизовская,55.8048131,37.7445503
450,450,1774030,metro,Черкизовская,55.8027347,37.7444641
451,451,1774031,metro,Чертановская,55.640738,37.605022
452,452,1774032,metro,Чертановская,55.6399002,37.608036
453,453,1774035,metro,Чеховская,55.765792,37.608605
454,454,1774036,metro,Сходненская,55.8492989,37.4393629
455,455,1774037,metro,Сходненская,55.851709,37.440023
456,456,1774038,metro,Сходненская,55.8515441,37.4403099
457,457,1774039,metro,Сходненская,55.849722,37.44072
