,global_id,geometry,Caption,NameOfStation
181,1773735,POINT (37.7618126 55.6767171),metro,Люблино
182,1773736,POINT (37.628323 55.759369),metro,Лубянка
183,1773737,POINT (37.7618992 55.6770532),metro,Люблино
184,1773738,POINT (37.7621184 55.6771029),metro,Люблино
185,1773739,POINT (37.7627843 55.677062),metro,Люблино
186,1773740,POINT (37.7629313 55.6769211),metro,Люблино
187,1773741,POINT (37.656456 55.74062),metro,Марксистская
188,1773742,POINT (37.656675 55.741077),metro,Марксистская
189,1773743,POINT (37.6168452 55.7935291),metro,Марьина роща
190,1773744,POINT (37.615858 55.793534),metro,Марьина роща
191,1773745,POINT (37.6169578 55.7971408),metro,Марьина роща
192,1773746,POINT (37.743716 55.651296),metro,Марьино
193,1773747,POINT (37.7438447 55.6510084),metro,Марьино
194,1773748,POINT (37.7438608 55.6491637),metro,Марьино
195,1773750,POINT (37.744483 55.649279),metro,Марьино
196,1773751,POINT (37.744606 55.648937),metro,Марьино
197,1773752,POINT (37.624185 55.761541),metro,Кузнецкий мост
198,1773753,POINT (37.763751 55.705308),metro,Кузьминки
199,1773754,POINT (37.7640246 55.7060321),metro,Кузьминки
200,1773755,POINT (37.767415 55.704826),metro,Кузьминки
201,1773757,POINT (37.445477 55.730675),metro,Кунцевская
202,1773758,POINT (37.446469 55.73082),metro,Кунцевская
203,1773759,POINT (37.445568 55.730541),metro,Кунцевская
204,1773760,POINT (37.446528 55.730666),metro,Кунцевская
205,1773761,POINT (37.658992 55.758613),metro,Курская
206,1773762,POINT (37.6601558 55.7585107),metro,Курская
207,1773763,POINT (37.660164 55.757855),metro,Курская
208,1773764,POINT (37.6599122 55.7561757),metro,Курская
209,1773765,POINT (37.5347739 55.7394196),metro,Кутузовская
210,1773766,POINT (37.534101 55.7405718),metro,Кутузовская
211,1773767,POINT (37.585043 55.706913),metro,Ленинский проспект
212,1773768,POINT (37.743045 55.651236),metro,Марьино
213,1773769,POINT (37.7431633 55.6509113),metro,Марьино
214,1773770,POINT (37.594548 55.771143),metro,Маяковская
215,1773771,POINT (37.596533 55.76926),metro,Маяковская
216,1773772,POINT (37.6110945 55.6728519),metro,Нагорная
217,1773773,POINT (37.6062028 55.663502),metro,Нахимовский проспект
218,1773774,POINT (37.6069995 55.6635432),metro,Нахимовский проспект
219,1773775,POINT (37.6041081 55.661613),metro,Нахимовский проспект
220,1773776,POINT (37.6047437 55.6617517),metro,Нахимовский проспект
221,1773777,POINT (37.6061591 55.6637839),metro,Нахимовский проспект
222,1773778,POINT (37.8145804 55.7522622),metro,Новогиреево
223,1773779,POINT (37.81491 55.751722),metro,Новогиреево
224,1773780,POINT (37.8185824 55.7512382),metro,Новогиреево
225,1773781,POINT (37.8184026 55.7516932),metro,Новогиреево
226,1773782,POINT (37.8655979 55.7461213),metro,Новокосино
227,1773783,POINT (37.8658385 55.744476),metro,Новокосино
228,1773784,POINT (37.862832 55.743829),metro,Новокосино
229,1773785,POINT (37.8623576 55.7441695),metro,Новокосино
230,1773786,POINT (37.861671 55.745471),metro,Новокосино
231,1773789,POINT (37.354253 55.8546831),metro,Пятницкое шоссе
232,1773790,POINT (37.354014 55.855143),metro,Пятницкое шоссе
233,1773791,POINT (37.353016 55.855288),metro,Пятницкое шоссе
234,1773794,POINT (37.609212 55.8217898),metro,Телецентр
235,1773795,POINT (37.505166 55.619857),metro,Тёплый стан
236,1773796,POINT (37.5063141 55.6198202),metro,Тёплый стан
237,1773797,POINT (37.661274 55.886025),metro,Медведково
238,1773798,POINT (37.363824 55.845533),metro,Митино
239,1773799,POINT (37.361271 55.846763),metro,Митино
240,1773800,POINT (37.360512 55.845982),metro,Митино
241,1773801,POINT (37.415869 55.741246),metro,Молодёжная
242,1773802,POINT (37.417866 55.740201),metro,Молодёжная
243,1773803,POINT (37.385197 55.82354),metro,Мякинино
244,1773804,POINT (37.6209364 55.6822357),metro,Нагатинская
245,1773805,POINT (37.621332 55.682143),metro,Нагатинская
246,1773806,POINT (37.614745 55.757306),metro,Охотный ряд
247,1773807,POINT (37.615083 55.757195),metro,Охотный ряд
248,1773808,POINT (37.6156184 55.7566567),metro,Охотный ряд
249,1773809,POINT (37.617727 55.75608),metro,Охотный ряд
250,1773810,POINT (37.61563 55.756804),metro,Охотный ряд
251,1773811,POINT (37.6362414 55.7313438),metro,Павелецкая
252,1773812,POINT (37.621783 55.682188),metro,Нагатинская
253,1773813,POINT (37.6227098 55.68417),metro,Нагатинская
254,1773814,POINT (37.6103001 55.6729139),metro,Нагорная
255,1773815,POINT (37.639543 55.729861),metro,Павелецкая
256,1773817,POINT (37.5949799 55.7360872),metro,Парк культуры
257,1773818,POINT (37.51592 55.73644),metro,Парк Победы
258,1773819,POINT (37.517105 55.735804),metro,Парк Победы
259,1773820,POINT (37.517599 55.73631),metro,Парк Победы
260,1773821,POINT (37.517692 55.735922),metro,Парк Победы
261,1773822,POINT (37.517273 55.736633),metro,Парк Победы
262,1773823,POINT (37.7496596 55.7884901),metro,Партизанская
263,1773824,POINT (37.6614571 55.8879931),metro,Медведково
264,1773825,POINT (37.533378 55.747892),metro,Международная
265,1773826,POINT (37.5987019 55.7814401),metro,Менделеевская
266,1773827,POINT (37.599007 55.781943),metro,Менделеевская
267,1773828,POINT (37.5984772 55.7816926),metro,Менделеевская
268,1773829,POINT (37.359469 55.846255),metro,Митино
269,1773830,POINT (37.361159 55.846321),metro,Митино
270,1773831,POINT (37.363396 55.844829),metro,Митино
271,1773832,POINT (37.360486 55.847006),metro,Митино
272,1773833,POINT (37.6032311 55.6115949),metro,Пражская
273,1773834,POINT (37.7148632 55.795534),metro,Преображенская площадь
274,1773835,POINT (37.7148765 55.7953081),metro,Преображенская площадь
275,1773836,POINT (37.716974 55.796922),metro,Преображенская площадь
276,1773837,POINT (37.71706 55.795982),metro,Преображенская площадь
277,1773838,POINT (37.7166493 55.7968666),metro,Преображенская площадь
278,1773839,POINT (37.717543 55.796064),metro,Преображенская площадь
279,1773840,POINT (37.664368 55.7317821),metro,Пролетарская
280,1773841,POINT (37.6645773 55.7312101),metro,Пролетарская
281,1773842,POINT (37.664926 55.73131),metro,Пролетарская
282,1773843,POINT (37.5071875 55.6778375),metro,Проспект Вернадского
283,1773844,POINT (37.633349 55.7819543),metro,Проспект Мира
284,1773845,POINT (37.6335334 55.7795686),metro,Проспект Мира
285,1773846,POINT (37.5618179 55.6772799),metro,Профсоюзная
286,1773847,POINT (37.5623706 55.6770979),metro,Профсоюзная
287,1773848,POINT (37.5635613 55.6788868),metro,Профсоюзная
288,1773849,POINT (37.5640979 55.6786988),metro,Профсоюзная
289,1773850,POINT (37.6038161 55.7654151),metro,Пушкинская
290,1773852,POINT (37.6186237 55.7368106),metro,Полянка
291,1773854,POINT (37.604379 55.613775),metro,Пражская
292,1773855,POINT (37.604446 55.6114647),metro,Пражская
293,1773856,POINT (37.6047469 55.6110863),metro,Пражская
294,1773857,POINT (37.6048726 55.6136747),metro,Пражская
295,1773858,POINT (37.6025606 55.6114306),metro,Пражская
296,1773859,POINT (37.6024484 55.6109456),metro,Пражская
297,1773860,POINT (37.799006 55.795712),metro,Первомайская
298,1773861,POINT (37.799096 55.793647),metro,Первомайская
299,1773862,POINT (37.79961 55.795727),metro,Первомайская
300,1773863,POINT (37.799751 55.79365),metro,Первомайская
301,1773864,POINT (37.7844802 55.7511859),metro,Перово
302,1773865,POINT (37.784195 55.750977),metro,Перово
303,1773866,POINT (37.7850385 55.7511446),metro,Перово
304,1773867,POINT (37.788378 55.751753),metro,Перово
305,1773868,POINT (37.788346 55.75124),metro,Перово
306,1773869,POINT (37.467458 55.736059),metro,Пионерская
307,1773871,POINT (37.4367687 55.8595651),metro,Планерная
308,1773872,POINT (37.6807937 55.747275),metro,Площадь Ильича
309,1773873,POINT (37.623306 55.756397),metro,Площадь Революции
310,1773875,POINT (37.5172062 55.7776443),metro,Полежаевская
311,1773876,POINT (37.5171557 55.7770229),metro,Полежаевская
312,1773877,POINT (37.5176384 55.7775861),metro,Полежаевская
313,1773878,POINT (37.5756124 55.836665),metro,Петровско-Разумовская
314,1773879,POINT (37.727827 55.692654),metro,Печатники
315,1773880,POINT (37.7278293 55.6928903),metro,Печатники
316,1773881,POINT (37.728458 55.692389),metro,Печатники
317,1773882,POINT (37.7284457 55.692675),metro,Печатники
318,1773883,POINT (37.466756 55.735944),metro,Пионерская
319,1773884,POINT (37.5215 55.777657),metro,Полежаевская
320,1773886,POINT (37.521486 55.77796),metro,Полежаевская
321,1773887,POINT (37.5071612 55.6196587),metro,Тёплый стан
322,1773888,POINT (37.6366194 55.7654719),metro,Тургеневская
323,1773889,POINT (37.6369063 55.7653368),metro,Тургеневская
324,1773890,POINT (37.4360367 55.8256692),metro,Тушинская
325,1773891,POINT (37.4370076 55.8254341),metro,Тушинская
326,1773892,POINT (37.4374154 55.8273392),metro,Тушинская
327,1773893,POINT (37.4380376 55.8281911),metro,Тушинская
328,1773894,POINT (37.5319534 55.5420806),metro,Улица Горчакова
329,1773895,POINT (37.560437 55.765435),metro,Улица 1905 года
330,1773896,POINT (37.4829878 55.739437),metro,Филёвский парк
331,1773898,POINT (37.515767 55.74529),metro,Фили
332,1773899,POINT (37.5805775 55.7274309),metro,Фрунзенская
333,1773900,POINT (37.6682219 55.6222568),metro,Царицыно
334,1773901,POINT (37.668722 55.62263),metro,Царицыно
335,1773902,POINT (37.668925 55.6224821),metro,Царицыно
336,1773903,POINT (37.6698636 55.6204932),metro,Царицыно
337,1773904,POINT (37.6704 55.620199),metro,Царицыно
338,1773905,POINT (37.5060675 55.6195654),metro,Тёплый стан
339,1773906,POINT (37.508677 55.617601),metro,Тёплый стан
340,1773907,POINT (37.574511 55.818659),metro,Тимирязевская
341,1773908,POINT (37.575101 55.818747),metro,Тимирязевская
342,1773909,POINT (37.5780576 55.8188162),metro,Тимирязевская
343,1773910,POINT (37.625617 55.740683),metro,Третьяковская
344,1773911,POINT (37.6218566 55.7678427),metro,Трубная
345,1773912,POINT (37.622461 55.70783),metro,Тульская
346,1773913,POINT (37.62259 55.709564),metro,Тульская
347,1773914,POINT (37.668333 55.732291),metro,Пролетарская
348,1773915,POINT (37.5045266 55.6765476),metro,Проспект Вернадского
349,1773916,POINT (37.5047335 55.6766633),metro,Проспект Вернадского
350,1773917,POINT (37.5052562 55.6763594),metro,Проспект Вернадского
351,1773918,POINT (37.5050632 55.676238),metro,Проспект Вернадского
352,1773919,POINT (37.5052832 55.6759002),metro,Проспект Вернадского
353,1773920,POINT (37.5057448 55.6761702),metro,Проспект Вернадского
354,1773921,POINT (37.6680428 55.732445),metro,Пролетарская
355,1773922,POINT (37.6677589 55.7319672),metro,Пролетарская
356,1773923,POINT (37.853893 55.7007835),metro,Лермонтовский проспект
357,1773924,POINT (37.6091093 55.7505094),metro,Боровицкая
358,1773928,POINT (37.617566 55.758683),metro,Охотный ряд
359,1773930,POINT (37.6514459 55.8543991),metro,Свиблово
360,1773931,POINT (37.654372 55.855739),metro,Свиблово
361,1773932,POINT (37.5981861 55.6516395),metro,Севастопольская
362,1773933,POINT (37.5981808 55.651406),metro,Севастопольская
363,1773934,POINT (37.5986848 55.65096),metro,Севастопольская
364,1773935,POINT (37.5986795 55.6511966),metro,Севастопольская
365,1773936,POINT (37.71929008 55.78315566),metro,Семёновская
366,1773937,POINT (37.6248829 55.726855),metro,Серпуховская
367,1773938,POINT (37.560177 55.765717),metro,Улица 1905 года
368,1773939,POINT (37.6011148 55.5942546),metro,Улица академика Янгеля
369,1773940,POINT (37.7321792 55.8149979),metro,Бульвар Рокоссовского
370,1773941,POINT (37.7329306 55.8154001),metro,Бульвар Рокоссовского
371,1773942,POINT (37.7351755 55.8132836),metro,Бульвар Рокоссовского
372,1773943,POINT (37.7352186 55.813449),metro,Бульвар Рокоссовского
373,1773944,POINT (37.62576 55.726788),metro,Серпуховская
374,1773945,POINT (37.468856 55.728974),metro,Славянский бульвар
375,1773946,POINT (37.47293 55.729345),metro,Славянский бульвар
376,1773947,POINT (37.473107 55.730202),metro,Славянский бульвар
377,1773948,POINT (37.472431 55.730934),metro,Славянский бульвар
378,1773949,POINT (37.583806 55.747952),metro,Смоленская
379,1773950,POINT (37.5822488 55.749036),metro,Смоленская
380,1773951,POINT (37.51424 55.8045014),metro,Сокол
381,1773952,POINT (37.5150184 55.8055344),metro,Сокол
382,1773953,POINT (37.515679 55.80434),metro,Сокол
383,1773954,POINT (37.5163929 55.8050244),metro,Сокол
384,1773955,POINT (37.5167424 55.804935),metro,Сокол
385,1773956,POINT (37.6359244 55.7926231),metro,Рижская
386,1773958,POINT (37.681359 55.746441),metro,Римская
387,1773959,POINT (37.7926457 55.7162448),metro,Рязанский проспект
388,1773961,POINT (37.590304 55.793958),metro,Савёловская
389,1773962,POINT (37.5871596 55.7940558),metro,Савёловская
390,1773963,POINT (37.653862 55.856086),metro,Свиблово
391,1773964,POINT (37.6514186 55.8547925),metro,Свиблово
392,1773965,POINT (37.5162194 55.804217),metro,Сокол
393,1773966,POINT (37.679849 55.789304),metro,Сокольники
394,1773967,POINT (37.679521 55.789257),metro,Сокольники
395,1773968,POINT (37.5618704 55.7222857),metro,Спортивная
396,1773969,POINT (37.5656975 55.7238319),metro,Спортивная
397,1773970,POINT (37.637075 55.766097),metro,Сретенский бульвар
398,1773972,POINT (37.401437 55.803709),metro,Строгино
399,1773973,POINT (37.401883 55.804446),metro,Строгино
400,1773974,POINT (37.632071 55.772245),metro,Сухаревская
401,1773975,POINT (37.632951 55.772318),metro,Сухаревская
402,1773976,POINT (37.4386091 55.8514481),metro,Сходненская
403,1773977,POINT (37.4388612 55.8515991),metro,Сходненская
404,1773978,POINT (37.439262 55.849603),metro,Сходненская
405,1773979,POINT (37.8554017 55.6841436),metro,Жулебино
406,1773980,POINT (37.404255 55.803098),metro,Строгино
407,1773981,POINT (37.404768 55.803813),metro,Строгино
408,1773982,POINT (37.548298 55.738902),metro,Студенческая
409,1773983,POINT (37.7518838 55.7576076),metro,Шоссе Энтузиастов
410,1773984,POINT (37.8565123 55.68613),metro,Жулебино
411,1773985,POINT (37.857681 55.686196),metro,Жулебино
412,1773986,POINT (37.857292 55.685816),metro,Жулебино
413,1773987,POINT (37.8549507 55.6848651),metro,Жулебино
414,1773988,POINT (37.854404 55.6848442),metro,Жулебино
415,1773989,POINT (37.8541303 55.6846472),metro,Жулебино
416,1773990,POINT (37.8557874 55.684466),metro,Жулебино
417,1773991,POINT (37.8547418 55.6836776),metro,Жулебино
418,1773992,POINT (37.562145 55.763895),metro,Улица 1905 года
419,1773993,POINT (37.6265474 55.8218212),metro,Улица академика Королёва
420,1773994,POINT (37.6001871 55.5958068),metro,Улица академика Янгеля
421,1773995,POINT (37.6004819 55.5944718),metro,Улица академика Янгеля
422,1773996,POINT (37.6012648 55.5961437),metro,Улица академика Янгеля
423,1773997,POINT (37.6018926 55.5941275),metro,Улица академика Янгеля
424,1773998,POINT (37.6027031 55.595992),metro,Улица академика Янгеля
425,1773999,POINT (37.591282 55.821901),metro,Улица Милашенкова
426,1774001,POINT (37.660159 55.756228),metro,Чкаловская
427,1774002,POINT (37.537593 55.749036),metro,Деловой центр
428,1774003,POINT (37.5778946 55.5816216),metro,Лесопарковая
429,1774004,POINT (37.5533041 55.5477054),metro,Улица Скобелевская
430,1774006,POINT (37.534935 55.6916707),metro,Университет
431,1774007,POINT (37.5346985 55.6933978),metro,Университет
432,1774008,POINT (37.4836294 55.7396228),metro,Филёвский парк
433,1774009,POINT (37.556297 55.6004415),metro,Битцевский парк
434,1774010,POINT (37.355271 55.857343),metro,Пятницкое шоссе
435,1774011,POINT (37.352861 55.854904),metro,Пятницкое шоссе
436,1774012,POINT (37.360024 55.845982),metro,Митино
437,1774013,POINT (37.359332 55.846461),metro,Митино
438,1774014,POINT (37.363736 55.84469),metro,Митино
439,1774017,POINT (37.385342 55.826292),metro,Мякинино
440,1774018,POINT (37.7356549 55.8141349),metro,Бульвар Рокоссовского
441,1774019,POINT (37.6449918 55.8294285),metro,Улица Сергея Эйзенштейна
442,1774020,POINT (37.400553 55.803867),metro,Строгино
443,1774021,POINT (37.401208 55.804598),metro,Строгино
444,1774022,POINT (37.405145 55.802894),metro,Строгино
445,1774023,POINT (37.405607 55.803625),metro,Строгино
446,1774026,POINT (37.564813 55.743095),metro,Киевская
447,1774027,POINT (37.6706788 55.6197162),metro,Царицыно
448,1774028,POINT (37.7445447 55.805133),metro,Черкизовская
449,1774029,POINT (37.7445503 55.8048131),metro,Черкизовская
450,1774030,POINT (37.7444641 55.8027347),metro,Черкизовская
451,1774031,POINT (37.605022 55.640738),metro,Чертановская
452,1774032,POINT (37.608036 55.6399002),metro,Чертановская
